game_name,app_id,days_post_launch,date,peak_ccu
Call_of_Duty,1938090,9,2025-03-10,186904
Call_of_Duty,1938090,10,2025-03-11,181814
Call_of_Duty,1938090,11,2025-03-12,170483
Call_of_Duty,1938090,12,2025-03-13,165944
Call_of_Duty,1938090,13,2025-03-14,178859
Call_of_Duty,1938090,14,2025-03-15,207418
Call_of_Duty,1938090,15,2025-03-16,206468
Call_of_Duty,1938090,16,2025-03-17,174519
Call_of_Duty,1938090,17,2025-03-18,161588
Call_of_Duty,1938090,18,2025-03-19,165286
Call_of_Duty,1938090,19,2025-03-20,160156
Call_of_Duty,1938090,20,2025-03-21,171470
Call_of_Duty,1938090,21,2025-03-22,196363
Call_of_Duty,1938090,22,2025-03-23,189455
Call_of_Duty,1938090,23,2025-03-24,155181
Call_of_Duty,1938090,24,2025-03-25,158175
Call_of_Duty,1938090,25,2025-03-26,157393
Call_of_Duty,1938090,26,2025-03-27,162832
Call_of_Duty,1938090,27,2025-03-28,160349
Call_of_Duty,1938090,28,2025-03-29,192656
Call_of_Duty,1938090,29,2025-03-30,183805
Call_of_Duty,1938090,30,2025-03-31,149327
Call_of_Duty,1938090,31,2025-04-01,157565
Call_of_Duty,1938090,32,2025-04-02,157328
Call_of_Duty,1938090,33,2025-04-03,153329
Call_of_Duty,1938090,34,2025-04-04,155576
Call_of_Duty,1938090,35,2025-04-05,177551
Call_of_Duty,1938090,36,2025-04-06,176999
Call_of_Duty,1938090,37,2025-04-07,147690
Call_of_Duty,1938090,38,2025-04-08,140870
Call_of_Duty,1938090,39,2025-04-09,141254
Call_of_Duty,1938090,40,2025-04-10,139311
Call_of_Duty,1938090,41,2025-04-11,147293
Call_of_Duty,1938090,42,2025-04-12,167312
Call_of_Duty,1938090,43,2025-04-13,169645
Call_of_Duty,1938090,44,2025-04-14,148646
Call_of_Duty,1938090,45,2025-04-15,138455
Call_of_Duty,1938090,46,2025-04-16,139951
Call_of_Duty,1938090,47,2025-04-17,144015
Call_of_Duty,1938090,48,2025-04-18,135859
Call_of_Duty,1938090,49,2025-04-19,156940
Call_of_Duty,1938090,50,2025-04-20,159547
Call_of_Duty,1938090,51,2025-04-21,132707
Call_of_Duty,1938090,52,2025-04-22,142487
Call_of_Duty,1938090,53,2025-04-23,140068
Call_of_Duty,1938090,54,2025-04-24,136958
Call_of_Duty,1938090,55,2025-04-25,139431
Call_of_Duty,1938090,56,2025-04-26,162592
Call_of_Duty,1938090,57,2025-04-27,152053
Call_of_Duty,1938090,58,2025-04-28,137531
Call_of_Duty,1938090,59,2025-04-29,132170
The_Finals,2073850,0,2025-03-01,294339
The_Finals,2073850,1,2025-03-02,287588
The_Finals,2073850,2,2025-03-03,222993
The_Finals,2073850,3,2025-03-04,211489
The_Finals,2073850,4,2025-03-05,207456
The_Finals,2073850,5,2025-03-06,205174
The_Finals,2073850,6,2025-03-07,206699
The_Finals,2073850,7,2025-03-08,237416
The_Finals,2073850,8,2025-03-09,211207
The_Finals,2073850,9,2025-03-10,182749
The_Finals,2073850,10,2025-03-11,175569
The_Finals,2073850,11,2025-03-12,166927
The_Finals,2073850,12,2025-03-13,160219
The_Finals,2073850,13,2025-03-14,158954
The_Finals,2073850,14,2025-03-15,193191
The_Finals,2073850,15,2025-03-16,176353
The_Finals,2073850,16,2025-03-17,147943
The_Finals,2073850,17,2025-03-18,146253
The_Finals,2073850,18,2025-03-19,137272
The_Finals,2073850,19,2025-03-20,141515
The_Finals,2073850,20,2025-03-21,137318
The_Finals,2073850,21,2025-03-22,146705
The_Finals,2073850,22,2025-03-23,146117
The_Finals,2073850,23,2025-03-24,117962
The_Finals,2073850,24,2025-03-25,114459
The_Finals,2073850,25,2025-03-26,108443
The_Finals,2073850,26,2025-03-27,111766
The_Finals,2073850,27,2025-03-28,107538
The_Finals,2073850,28,2025-03-29,117856
The_Finals,2073850,29,2025-03-30,117382
The_Finals,2073850,30,2025-03-31,103027
The_Finals,2073850,31,2025-04-01,93829
The_Finals,2073850,32,2025-04-02,90451
The_Finals,2073850,33,2025-04-03,91216
The_Finals,2073850,34,2025-04-04,93247
The_Finals,2073850,35,2025-04-05,99582
The_Finals,2073850,36,2025-04-06,101310
The_Finals,2073850,37,2025-04-07,84409
The_Finals,2073850,38,2025-04-08,78081
The_Finals,2073850,39,2025-04-09,79968
The_Finals,2073850,40,2025-04-10,75243
The_Finals,2073850,41,2025-04-11,75369
The_Finals,2073850,42,2025-04-12,86792
The_Finals,2073850,43,2025-04-13,83894
The_Finals,2073850,44,2025-04-14,66330
The_Finals,2073850,45,2025-04-15,69806
The_Finals,2073850,46,2025-04-16,64792
The_Finals,2073850,47,2025-04-17,62441
The_Finals,2073850,48,2025-04-18,60109
The_Finals,2073850,49,2025-04-19,73339
The_Finals,2073850,50,2025-04-20,72333
The_Finals,2073850,51,2025-04-21,56067
The_Finals,2073850,52,2025-04-22,57715
The_Finals,2073850,53,2025-04-23,54876
The_Finals,2073850,54,2025-04-24,56037
The_Finals,2073850,55,2025-04-25,52331
The_Finals,2073850,56,2025-04-26,63720
The_Finals,2073850,57,2025-04-27,60575
The_Finals,2073850,58,2025-04-28,53116
The_Finals,2073850,59,2025-04-29,48091
